id_conf,run_id,mutation,neighbor,H,stop,nb solutions,hv,spacing,duration_batch
30,0,0.5,0.1,10,100,106,0.6058029221145567,0.0759884576759984,21.957571029663086
30,1,0.5,0.1,10,100,54,0.5916005375232214,0.12183176850143285,21.957571029663086
30,2,0.5,0.1,10,100,68,0.578706275307536,0.10404446512837581,21.957571029663086
30,3,0.5,0.1,10,100,68,0.57149648828183,0.11452976194184052,21.957571029663086
30,4,0.5,0.1,10,100,41,0.5549836460839785,0.16695940587814512,21.957571029663086
33,0,0.1,0.05,15,100,67,0.5778092610214921,0.13187813966352874,43.34375739097595
33,1,0.1,0.05,15,100,101,0.5656776027622012,0.08834554100466331,43.34375739097595
33,2,0.1,0.05,15,100,49,0.5063688818686121,0.12068253938249991,43.34375739097595
33,3,0.1,0.05,15,100,48,0.5773604981459132,0.16092657244248454,43.34375739097595
33,4,0.1,0.05,15,100,95,0.558799502694255,0.09659199208537719,43.34375739097595
34,0,0.1,0.1,15,100,107,0.5634905381153001,0.09052424517565773,38.93553457260132
34,1,0.1,0.1,15,100,75,0.559401345941731,0.0885645090922175,38.93553457260132
34,2,0.1,0.1,15,100,54,0.5598703426311376,0.1164784539838534,38.93553457260132
34,3,0.1,0.1,15,100,81,0.5845251995705854,0.08391712591963763,38.93553457260132
34,4,0.1,0.1,15,100,68,0.5865959742144995,0.10741766856891263,38.93553457260132
35,0,0.1,0.15,15,100,75,0.5816736639274507,0.11639566474895974,44.41415705680847
35,1,0.1,0.15,15,100,26,0.5576904557074845,0.12024606796075978,44.41415705680847
35,2,0.1,0.15,15,100,95,0.589099824979634,0.07806138678072239,44.41415705680847
35,3,0.1,0.15,15,100,52,0.5578414336393033,0.1201252234813158,44.41415705680847
35,4,0.1,0.15,15,100,43,0.5652198066489085,0.177355347303517,44.41415705680847
37,0,0.2,0.05,15,100,120,0.5904132551770072,0.08076891699527146,43.37106757164001
37,1,0.2,0.05,15,100,32,0.5581311251865747,0.17818588795507173,43.37106757164001
37,2,0.2,0.05,15,100,42,0.565982634991342,0.10313134180514194,43.37106757164001
37,3,0.2,0.05,15,100,44,0.5580923008113468,0.12021904795300975,43.37106757164001
37,4,0.2,0.05,15,100,59,0.5636776036967256,0.10707731932072412,43.37106757164001
40,0,0.2,0.2,15,100,53,0.5663739773054073,0.14200398243370446,37.84607710838318
40,1,0.2,0.2,15,100,68,0.5864372398362918,0.10885570794167347,37.84607710838318
40,2,0.2,0.2,15,100,118,0.5601463469390908,0.08537014754817583,37.84607710838318
40,3,0.2,0.2,15,100,158,0.525294472819915,0.06768872660724647,37.84607710838318
40,4,0.2,0.2,15,100,50,0.5649555474681767,0.08097799896893536,37.84607710838318
36,0,0.1,0.2,15,100,77,0.5674726597715312,0.09218661657544976,45.96716408729553
36,1,0.1,0.2,15,100,95,0.5659681901056033,0.07699089398346945,45.96716408729553
36,2,0.1,0.2,15,100,75,0.5655452982074946,0.108085269742427,45.96716408729553
36,3,0.1,0.2,15,100,76,0.5506625149676717,0.10688900866542189,45.96716408729553
36,4,0.1,0.2,15,100,115,0.5898812858679455,0.08327992938521551,45.96716408729553
38,0,0.2,0.1,15,100,34,0.5630446273783494,0.13988462219748254,43.238029623031615
38,1,0.2,0.1,15,100,61,0.573468529030526,0.1298281502675023,43.238029623031615
38,2,0.2,0.1,15,100,95,0.5945240309327134,0.10199716593208226,43.238029623031615
38,3,0.2,0.1,15,100,61,0.551273737882934,0.14953247291250785,43.238029623031615
38,4,0.2,0.1,15,100,37,0.5682923609136515,0.12071769920368174,43.238029623031615
39,0,0.2,0.15,15,100,72,0.5679810662640501,0.10251306055846211,44.643160581588745
39,1,0.2,0.15,15,100,73,0.5639042722879941,0.09166424496564365,44.643160581588745
39,2,0.2,0.15,15,100,41,0.5519518918501507,0.0750306493660836,44.643160581588745
39,3,0.2,0.15,15,100,44,0.5863368012737052,0.121096788855971,44.643160581588745
39,4,0.2,0.15,15,100,50,0.5798508583915457,0.12091285552317585,44.643160581588745
41,0,0.4,0.05,15,100,56,0.5488273752212972,0.11333729627751399,43.808765745162965
41,1,0.4,0.05,15,100,80,0.5756719826256788,0.08035445819857112,43.808765745162965
41,2,0.4,0.05,15,100,117,0.5642792485937549,0.10527472202429736,43.808765745162965
41,3,0.4,0.05,15,100,64,0.590150109402169,0.08917786905072252,43.808765745162965
41,4,0.4,0.05,15,100,67,0.5753026200091765,0.08809565836737626,43.808765745162965
42,0,0.4,0.1,15,100,58,0.5909929121133259,0.13070627806869198,43.227902507781984
42,1,0.4,0.1,15,100,56,0.561715548980589,0.11308389182818558,43.227902507781984
42,2,0.4,0.1,15,100,44,0.5889460388880436,0.14614513853798256,43.227902507781984
42,3,0.4,0.1,15,100,94,0.5883016463308537,0.07744733810641821,43.227902507781984
42,4,0.4,0.1,15,100,56,0.5835181959616509,0.11846708874688633,43.227902507781984
43,0,0.4,0.15,15,100,93,0.5768609585920684,0.07740834470793514,46.008654069900516
